"","Date","Electricity","Chilled Water","Steam","Natural Gas","Solar"
"1","1-31-2014",206381.76898819,7191.34375,361477.888671875,16209.4844,0
"2","1-31-2015",317648.856719971,78756.90625,672205.404296875,15699.6035,0
"3","1-31-2016",369501.496620178,85397.56640625,592129.295898438,16775.215,0
"4","1-31-2017",348557.969100952,68450.34765625,667061.615234375,128710.05115,0
"5","1-31-2018",355909.274848938,71331.248046875,773599.84375,100937.0205,11250.64355
"6","1-31-2019",352951.432624817,86833.4697265625,843232.7890625,86089.4065,4472.125
"7","10-31-2013",198030.036941528,34432.12109375,156287.4921875,4484.4345,0
"8","10-31-2014",313344.25957489,15964.7138671875,212352.08203125,4050.93823,0
"9","10-31-2015",320512.071876526,229626.297851562,241593.979492188,2267.6345,0
"10","10-31-2016",388325.699966431,293513.229492188,280625.057617188,81128.486695,0
"11","10-31-2017",390938.540985107,322422.986328125,2047559.76367188,59086.287235,23968.7676
"12","10-31-2018",397539.918182373,473636.330078125,440889.6484375,42019.7995,7204.21875
"13","10-31-2019",416523.463363647,416121.806640625,446244.751953125,38413.90674,8492.8125
"14","11-30-2013",203346.55922699,13361.83203125,267870.666015625,9314.55,0
"15","11-30-2014",295958.428291321,1939.0478515625,389510.39453125,7860.40965,0
"16","11-30-2015",298064.219306946,88021.328125,820789.029296875,11248.6162,0
"17","11-30-2016",351361.218582153,169167.37890625,406892.397460938,96879.7217,0
"18","11-30-2017",349742.997787476,109372.249023438,520729.767578125,79638.4297,14963.8589
"19","11-30-2018",344360.917243958,194040.522460938,652707.927734375,57915.1167,4023.75
"20","11-30-2019",392902.881141663,168961.5234375,743485.073242188,52107.72465,5459.28125
"21","12-31-2013",160578.494972229,2151.515625,457922.103515625,22157.89845,0
"22","12-31-2014",273186.136299133,8018.3916015625,553818.51953125,14193.41115,0
"23","12-31-2015",291740.705093384,71698.67578125,1013007.31835938,19603.34375,0
"24","12-31-2016",272884.461601257,70320.9296875,594595.703125,132767.02525,0
"25","12-31-2017",303154.84552002,68045.7236328125,741684.954101562,98393.4588,16391.56845
"26","12-31-2018",277467.636703491,61320.5595703125,716158.491210938,76265.28125,4357.28125
"27","12-31-2019",327666.997085571,73801.193359375,1110827.21289062,86854.425,1496.5625
"28","2-28-2013",186933.664718628,56933.33203125,360096.19140625,13461.9658,0
"29","2-28-2014",197292.393623352,5636.09765625,291524.142578125,12761.47655,0
"30","2-28-2015",296859.970306396,89401.8125,491958.236328125,7266.96045,0
"31","2-28-2017",345560.555114746,85629.87109375,496710.967773438,97885.12,0
"32","2-28-2018",343016.37966156,113023.544921875,670052.244140625,90731.1347,24029.00975
"33","2-28-2019",346917.140441895,66159.2041015625,871897.643554688,83770.4074,5111.3125
"34","2-29-2016",350236.994049072,117450.53515625,420956.006835938,7616.6885,0
