Building,Maintained Gross Sq. Ft.
TAPS C&E,1749
Translational Shared Research Facility,2500
Primate Childhood Health & Disease Facility,3542
Heitman Staff Learning Center,4586
Primate Virology & Immunology Laboratory,5790
Schaal Aquatic Center,6056
Parsons Seed Certification Center,7180
Advanced Materials Research Laboratory,7560
FPS Trinchero Building,7669
Campus Data Center,8810
Medical Sciences I D,9105
IET Communications Resources,9972
Art Building Annex,9973
